GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
userservice,cn.edu.xmu.user.config,Swagger2Configuration,0,65,0,0,0,20,0,3,0,3
userservice,cn.edu.xmu.user.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
userservice,cn.edu.xmu.user.config,RedisConfig,0,63,0,0,0,17,0,2,0,2
userservice,cn.edu.xmu.user.service,UserService,282,124,23,5,50,23,15,6,1,6
userservice,cn.edu.xmu.user.model.vo,SimpleCustomerRetVo,143,24,30,0,1,8,22,4,7,4
userservice,cn.edu.xmu.user.model.vo,LoginVo,98,17,22,0,0,3,15,5,4,5
userservice,cn.edu.xmu.user.model.vo,CustomerRetVo,292,63,63,1,1,16,43,8,11,8
userservice,cn.edu.xmu.user.model.vo,NewUserVo,263,52,62,0,0,8,35,15,4,15
userservice,cn.edu.xmu.user.util,IpUtil,41,42,20,6,7,15,14,1,1,1
userservice,cn.edu.xmu.user.model.bo,Customer.State,7,95,0,2,2,14,2,4,2,3
userservice,cn.edu.xmu.user.model.bo,Customer,459,86,95,1,8,21,70,8,22,8
userservice,cn.edu.xmu.user.dao,NewUserDao,159,277,18,14,34,60,16,9,1,8
userservice,cn.edu.xmu.user.dao,UserDao,45,118,8,10,6,27,8,5,0,4
userservice,cn.edu.xmu.user,UserserviceApplication,5,3,0,0,2,1,1,1,1,1
userservice,cn.edu.xmu.user.controller,UserController,23,66,5,5,5,16,5,5,0,5
userservice,cn.edu.xmu.user.model.po,CustomerPo,18,87,5,5,4,30,7,21,2,21
userservice,cn.edu.xmu.user.model.po,CustomerPoExample.GeneratedCriteria,1136,55,7,3,288,14,146,8,142,7
userservice,cn.edu.xmu.user.model.po,CustomerPoExample.Criteria,0,3,0,0,0,2,0,1,0,1
userservice,cn.edu.xmu.user.model.po,CustomerPoExample.Criterion,53,36,1,1,19,13,8,6,7,6
userservice,cn.edu.xmu.user.model.po,CustomerPoExample,34,37,1,1,13,12,6,6,5,6
